,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
28669,Twin Buttes II Wind,USA0061040,75.0,Wind,Avangrid Renewables LLC,U.S. Energy Information Administration,39.26179886803535,-102.546,37.773
28670,Twin Buttes Wind Project,USA0056460,75.0,Wind,Avangrid Renewables LLC,U.S. Energy Information Administration,47.200074814444655,-102.8622,37.6735
28671,Twin Cities Hydro LLC,USA0057069,18.0,Hydro,Twin Cities Hydro LLC,U.S. Energy Information Administration,1.0213639346430334,-93.1994,44.9156
28672,Twin Falls (ID),USA0000821,52.7,Hydro,Idaho Power Co,U.S. Energy Information Administration,0.380621143411449,-114.3553,42.5892
28673,Twin Falls (WI),USA0059836,9.2,Hydro,Wisconsin Electric Power Co,U.S. Energy Information Administration,71.61953527605623,-88.0708,45.8728
28674,Twin Falls Hydro,USA0050827,24.0,Hydro,Twin Falls Hydro Associates LP,U.S. Energy Information Administration,50.31748724766057,-121.6878,47.4446
28675,Twin Lake Hills LLC,USA0055568,1.9,Wind,CHI Operations Inc,U.S. Energy Information Administration,26.65473529702551,-96.2789,44.2258
28676,Twin Reservoirs,USA0050382,2.2,Hydro,Walla Walla City of,U.S. Energy Information Administration,46.44590048615552,-118.2547,46.0883
28677,Twin Ridges Wind Farm,USA0057998,139.4,Wind,Everpower Wind Holdings Inc,U.S. Energy Information Administration,36.07297555902684,-78.8747,39.7606
28678,Twin Rivers Paper Co LLC,USA0058146,22.0,Other,Twin Rivers Paper Co LLC,U.S. Energy Information Administration,0.4293900430937041,-68.3309,47.3581
28679,Twiss Street Solar,USA0059624,1.5,Solar,Citizens Enterprises Corporation,U.S. Energy Information Administration,10.325942600219422,-72.7481,42.1483
28680,Two Dot Wind Farm,USA0059003,9.7,Wind,NJR Clean Energy Ventures Corporation,U.S. Energy Information Administration,66.06845254932702,-110.0872,46.4494
28681,Two Lines Farm,USA0058348,5.0,Solar,Two Lines Farm LLC,U.S. Energy Information Administration,48.48033909853266,-81.3267,35.6292
28682,Two Mile Solar,USA0059427,5.0,Solar,SolNCPower1  LLC,U.S. Energy Information Administration,37.46088649618063,-76.4619,36.2231
28683,Two Pine Landfill Gas Recovery,USA0056523,4.8,Waste,WM Renewable Energy LLC,U.S. Energy Information Administration,11.141610868964486,-92.1571,34.8332
28684,Two Ponds Windfarm,USA0057444,23.0,Wind,Aegis Renewables LLC,U.S. Energy Information Administration,9.52655814823246,-115.4826,43.0338
28685,Ty Cooke,USA0003602,138.1,Gas,City of Lubbock - (TX),U.S. Energy Information Administration,12.21306120396686,-101.7906,33.5211
28686,Tyee Lake Hydroelectric Facility,USA0061166,22.6,Hydro,Southeast Alaska Power Agency,U.S. Energy Information Administration,44.93443871660602,-131.5043,56.2164
